platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type
twitch,amouranth,Amouranth,125387632,652031,18985,8590,4555,26836,,"Pools, Hot Tubs, and Beaches",https://static-cdn.jtvnw.net/jtv_user_pictures/73a412eb-6d1c-4a1d-8711-aca8e1d144cb-profile_image-300x300.png,US,en,partner,Female
twitch,lvpes,LVPes,22346597,647270,113247,40881,950,6565,2136509,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/lvpes-profile_image-b9a288b926641fe4-300x300.png,ES,es,partner,Organization
twitch,alanzoka,alanzoka,38244180,645942,25852,17738,2185,11499,1585476,Grounded,https://static-cdn.jtvnw.net/jtv_user_pictures/15cec952-c1ba-4ff8-a79c-53c2fa5bd269-profile_image-300x300.png,BR,pt,partner,Male
twitch,doublelift,Doublelift,40017619,643785,29490,11850,3260,8612,1773738,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/2a9aad00-b15b-411e-86c4-8e7432e78740-profile_image-300x300.png,US,en,partner,Male
twitch,aminematue,aminematue,407388596,641449,67485,30546,1260,18332,1926620,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/13e55cbe-a1b0-4f4c-b69b-2748274b9e48-profile_image-300x300.png,FR,fr,partner,Male
twitch,jokerdtv,JokerdTV,48082917,636597,26548,8555,4465,6996,1420882,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/02f9752b-833e-436d-b62b-34e7eb798261-profile_image-300x300.png,MT,en,partner,Male
twitch,loltyler1,loltyler1,51496027,631144,20521,14650,2585,2396,1274147,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-300x300.png,US,en,partner,Male
twitch,beyondthesummit,BeyondTheSummit,29578325,611243,20347,3641,10075,3185,1736476,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/f170344d-7a60-47fa-8be6-a74e803fcf12-profile_image-300x300.jpg,,en,partner,Organization
twitch,k4sen,k4sen,44525650,594707,21844,11365,3140,4595,1080538,Astroneer,https://static-cdn.jtvnw.net/jtv_user_pictures/794e906d-64d7-41ab-bb89-8fb159e4124b-profile_image-300x300.png,JP,ja,partner,Male
twitch,cohhcarnage,CohhCarnage,26610234,586426,18851,9884,3560,614,413331,Grounded,https://static-cdn.jtvnw.net/jtv_user_pictures/148c3b8a-a78b-4139-a429-7d3d90ce8a27-profile_image-300x300.png,US,en,partner,Male
twitch,brucedropemoff,BruceDropEmOff,88084663,580430,49081,31805,1095,19208,1632941,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/942bca8c-21f3-4e13-a4ef-148dca11ce7e-profile_image-300x300.png,US,en,partner,Male
twitch,noway4u_sir,NoWay4u_Sir,85397463,578927,33594,12451,2790,2259,1217577,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/9e619d88755f56a8-profile_image-300x300.png,DE,de,partner,Male
twitch,shuteye_orange,蝦愛橘子,25202416,560469,6411,3337,10080,409,485897,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/e496689c-5e8f-44a6-8733-b3c5b6e17e19-profile_image-300x300.png,TW,zh,partner,Male
twitch,ungespielt,ungespielt,36983084,559931,8101,4319,7780,6068,496645,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/fbfff8b8-d11a-4e08-a1af-00e8105ae7da-profile_image-300x300.png,DE,de,partner,Male
twitch,kamet0,Kamet0,27115917,552020,33159,14820,2235,7023,1874301,FIFA 23,https://static-cdn.jtvnw.net/jtv_user_pictures/9e12862d-a8d0-4df2-81aa-e2241022dc98-profile_image-300x300.jpg,FR,fr,partner,Male
twitch,westcol,WestCOL,168732568,547453,43266,24791,1325,32399,1841171,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/0afdc3fb-4825-422d-85ad-fbd2ce93fade-profile_image-300x300.jpeg,CO,es,partner,Male
twitch,moonmoon,MOONMOON,121059319,545948,17914,11978,2735,328,20,Skate 3,https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-300x300.png,US,en,partner,Male
twitch,elxokas,elxokas,31919607,524565,21485,11261,2795,3982,1511188,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/198c0fe9-cf41-4ef1-ad55-405c1e599f25-profile_image-300x300.png,ES,es,partner,Male
twitch,mixwell,Mixwell,96116107,521145,27169,13222,2365,10718,1632479,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/f0044e07-f9f1-4530-8a69-faaea89aa7d8-profile_image-300x300.png,ES,es,partner,Male
twitch,gorgc,Gorgc,108268890,513664,18036,11587,2660,1870,1057808,Dota 2,https://static-cdn.jtvnw.net/jtv_user_pictures/gorgc-profile_image-469e05d25a1e8594-300x300.jpeg,SE,en,partner,Male
